,Review,Positive,Negative,Neutral
164,total worth price io fan like compact phone want switch android iphon like click good photo camera unbeat multitask normal phone get stuck app keep go without hiatus lag like listen music  speaker one front anoth watch movi  music feel like dolbi atmosther lot technic advantag dont want get yo,0.346,0.032,0.622
165,nice excel product consid price perfect  camera doesnt seem  claim overal excel product,0.581,0.0,0.419
166,smart phone best smartphon price rang phone realli valu money phonecamera   ai tripl camera  mp depth  mp macro camera imag qualiti better smartphon price rang max  full hd video also record rear camera hdr night mode support  mp front camera pic qualiti better price rang come front screen flash hdr mode ai face beautificationmax  video record b,0.232,0.0,0.768
167,use phone sinc  month fast perform processor good batteri good camera okay good good purchas cheaper phone configur,0.509,0.0,0.491
168,build phone good packag good transpar cover given seller front camera worth  rear camera worth  also mani applic likephoto gallerysecur scannerfil managerspe connect etcoveral would like give  star  star,0.335,0.0,0.665
169,mobil ok,0.688,0.0,0.312
170,poor camera qualiti infact time work poor displaypoor performancenoth good set,0.17,0.363,0.468
171,phone valu maney camera bad condit,0.0,0.412,0.588
172,osm mobil volu money  realm good companyand thak much  flipkart fast deliveri ,0.209,0.0,0.791
173,super camera night,0.661,0.0,0.339
174,nice phone best ,0.875,0.0,0.125
175,good simpl use batteri life good charg time  hour good product compair price,0.465,0.0,0.535
176,dont buy phone bad camera qualiti,0.363,0.0,0.637
177,worst ever,0.0,0.804,0.196
178,good,1.0,0.0,0.0
179,dont buy dont want money wast  camera gimmick give worst photo pathet camera qualiti didnt expect realm,0.057,0.202,0.74
180,work smooth expect,0.0,0.0,1.0
181,nice,1.0,0.0,0.0
182,nice camera,0.737,0.0,0.263
183,bad qualiti,0.0,0.778,0.222
184,nice product  bad,0.384,0.479,0.137
185,awesom mobil young generat old generat though  mobil good look go look old enough red colour cost that disappoint custom everyth els good enough person abl purchas flip mobil due cost price warranti awesom price awesom go mobil,0.133,0.062,0.805
186,use devic week nowi bought use primari devic make receiv phone call far great nostalgia part also own samsung motorola flip phone past school day phone special place heartit good valu money devic good batteri life good clariti phone call heat issu far jio  doesnt work tri use vodafon airtel bsnl,0.252,0.0,0.748
187,good nice product good batteri back  day use day writ review best good phone handi one aapka apna shauk flip phone k liy hai toh zaroor purchas kariy good phone,0.447,0.0,0.553
188,wow amaz product honest bought look design nostalg feel hold hand bright colour light weight camera hand ok phone rang display also good product easili draw anyon attent toward user overal nice product lava would definit love see new upgrad model phone,0.463,0.0,0.537
189,awesom featur mobil  smart keypad  wireless fm long batteri backup auto call record  expand memori led flash call messag batteri charg standard look  handi mobil import proud indianawesom lava  look type featur mobil long time expect flip phone lava,0.184,0.0,0.816
190,valu money batteri last  day incred,0.0,0.0,1.0
191,decent basic mobil price satin finish give eleg look batteri backup come  day regular use display good vga camera enoughif use call purpos collect product good look basic usag,0.177,0.0,0.823
192,cut two star pathet  deliveri  deliveri man bad cant even describ bother  happen first time  otherwis product goodpro first  good look  batteri backup  prelod  timepass  phone look classi  flip give comfort talk experi  would better dual display  phone  bit overpr  would great  least int,0.253,0.098,0.649
193,super cute oner though alway use samsung one plus  iphon still took one passion love small red flip realli love damn cute,0.546,0.069,0.385
194,nice backup phone price rang classi look n feelbatteri backup realli goodcal qualiti also nice network captur greati mean distort voic even phone  barson downsid voic prompt keypad littl annoy overal great phone,0.232,0.124,0.644
195,good simpl use batteri life good charg time  hour good product compair price,0.465,0.0,0.535
